Time;Open Price;Close Price;Low Price;High Price;Volume
27.02.2023 15:00;23359.32;23389.37;23332.65;23439.76;7028.659
27.02.2023 16:00;23388.94;23378.79;23348.74;23420.0;6089.326
27.02.2023 17:00;23378.79;23428.87;23369.36;23448.43;5947.513
27.02.2023 18:00;23428.87;23403.18;23379.25;23440.94;6925.017
27.02.2023 19:00;23403.18;23703.01;23397.35;23800.45;25039.871
27.02.2023 20:00;23704.29;23803.46;23675.5;23862.29;22864.227
27.02.2023 21:00;23803.46;23559.4;23465.1;23897.99;28786.912
27.02.2023 22:00;23557.66;23391.49;23159.33;23618.3;29121.512
27.02.2023 23:00;23391.55;23334.4;23266.66;23425.0;13278.023
28.02.2023 00:00;23333.49;23288.77;23150.0;23370.0;16374.337
28.02.2023 01:00;23288.55;23276.35;23218.56;23360.0;12682.727
28.02.2023 02:00;23276.34;23321.37;23106.77;23329.83;14992.866
28.02.2023 03:00;23320.38;23381.38;23294.47;23397.34;7859.076
28.02.2023 04:00;23381.38;23482.13;23361.07;23557.79;8556.598
28.02.2023 05:00;23481.28;23492.09;23448.2;23582.98;7652.605
28.02.2023 06:00;23492.09;23420.55;23409.79;23549.99;8213.504
28.02.2023 07:00;23420.55;23433.16;23349.57;23460.01;6764.47
28.02.2023 08:00;23433.16;23441.76;23386.79;23475.73;5375.651
28.02.2023 09:00;23441.76;23467.52;23436.12;23526.0;5543.484
28.02.2023 10:00;23467.01;23415.0;23386.31;23470.44;6494.244
28.02.2023 11:00;23414.64;23378.45;23364.01;23447.76;5809.145
28.02.2023 12:00;23377.69;23392.3;23362.25;23414.34;5199.447
28.02.2023 13:00;23391.69;23236.68;23212.8;23397.58;11630.466
28.02.2023 14:00;23235.63;23264.21;23200.0;23302.94;9632.769
28.02.2023 15:00;23263.3;23267.79;23244.21;23321.76;6848.873
28.02.2023 16:00;23268.43;23363.9;23253.5;23391.03;8325.654
28.02.2023 17:00;23363.9;23392.69;23335.47;23421.98;8271.205
28.02.2023 18:00;23391.96;23454.54;23385.29;23506.11;11972.92
28.02.2023 19:00;23454.01;23403.17;23368.79;23487.78;11459.319
28.02.2023 20:00;23403.17;23425.94;23315.42;23579.12;22722.189
28.02.2023 21:00;23425.19;23518.3;23403.45;23546.32;22232.183
28.02.2023 22:00;23519.08;23456.05;23426.47;23600.0;15181.604
28.02.2023 23:00;23456.05;23526.54;23447.5;23558.34;10063.016
01.03.2023 00:00;23525.9;23481.63;23436.88;23550.0;10634.981
01.03.2023 01:00;23481.63;23264.36;23205.06;23492.84;18237.247
01.03.2023 02:00;23263.38;23272.05;23166.35;23343.55;15233.076
01.03.2023 03:00;23270.59;23139.89;23020.97;23277.98;19752.939
01.03.2023 04:00;23138.89;23161.38;23094.69;23240.82;9845.542
01.03.2023 05:00;23160.47;23141.57;23098.35;23199.96;8697.07
01.03.2023 06:00;23141.57;23101.0;23020.03;23219.99;12736.949
01.03.2023 07:00;23101.0;23245.96;23075.14;23296.94;11574.177
01.03.2023 08:00;23245.96;23331.21;23234.2;23336.46;7905.821
01.03.2023 09:00;23332.57;23441.14;23305.97;23498.0;14946.694
01.03.2023 10:00;23440.37;23794.48;23425.44;23847.0;15445.264
01.03.2023 11:00;23794.48;23694.17;23631.97;23821.56;12473.009
01.03.2023 12:00;23695.14;23752.75;23666.0;23803.39;11365.969
01.03.2023 13:00;23752.75;23716.06;23681.0;23762.22;10152.891
01.03.2023 14:00;23716.06;23867.78;23681.81;24000.0;15049.103
01.03.2023 15:00;23869.01;23756.14;23725.07;23907.68;13185.749
01.03.2023 16:00;23755.74;23777.62;23673.44;23787.46;9259.782
01.03.2023 17:00;23777.62;23739.17;23700.0;23788.4;8099.119
01.03.2023 18:00;23739.87;23722.6;23701.09;23820.51;9882.626
01.03.2023 19:00;23722.6;23689.45;23616.45;23735.17;12613.433
01.03.2023 20:00;23689.97;23679.86;23570.0;23888.0;23100.282
01.03.2023 21:00;23679.86;23711.09;23550.8;23770.0;25931.502
01.03.2023 22:00;23711.09;23691.9;23555.06;23746.24;20056.886
01.03.2023 23:00;23692.54;23704.68;23669.3;23744.68;11849.328
02.03.2023 00:00;23704.68;23690.88;23646.73;23724.82;9019.932
02.03.2023 01:00;23690.88;23355.14;23328.16;23695.57;18614.352
02.03.2023 02:00;23354.03;23421.23;23300.0;23471.62;15139.122
02.03.2023 03:00;23421.23;23553.73;23368.41;23593.32;10927.139
02.03.2023 04:00;23553.94;23531.94;23440.39;23579.52;7214.327
02.03.2023 05:00;23531.41;23628.97;23501.2;23674.6;8743.96
02.03.2023 06:00;23629.76;23606.95;23595.11;23796.93;12203.504
02.03.2023 07:00;23606.31;23513.5;23445.63;23635.87;11886.619
02.03.2023 08:00;23514.29;23494.47;23448.92;23543.63;7889.417
02.03.2023 09:00;23494.47;23494.29;23423.17;23513.49;6939.121
02.03.2023 10:00;23494.29;23536.33;23469.43;23546.82;4693.647
02.03.2023 11:00;23536.34;23445.71;23410.65;23544.76;6316.918
02.03.2023 12:00;23445.48;23437.86;23374.46;23474.35;8081.016
02.03.2023 13:00;23437.86;23391.87;23335.41;23448.08;8862.363
02.03.2023 14:00;23391.87;23443.67;23347.76;23466.68;9464.043
02.03.2023 15:00;23443.67;23400.39;23386.45;23468.5;6826.561
02.03.2023 16:00;23399.85;23375.64;23337.37;23419.66;8741.262
02.03.2023 17:00;23375.22;23414.73;23359.24;23429.83;6999.044
02.03.2023 18:00;23414.73;23355.54;23319.0;23434.26;10609.327
02.03.2023 19:00;23354.61;23308.95;23236.0;23412.0;17949.995
02.03.2023 20:00;23309.98;23305.46;23195.9;23349.21;19651.208
02.03.2023 21:00;23305.46;23361.11;23274.08;23383.83;15400.287
02.03.2023 22:00;23361.1;23279.98;23250.24;23387.84;11198.502
02.03.2023 23:00;23279.45;23268.91;23231.29;23319.36;9066.427
03.03.2023 00:00;23269.02;23441.14;23254.31;23458.94;12172.806
03.03.2023 01:00;23441.14;23463.99;23388.76;23507.97;14125.248
03.03.2023 02:00;23463.4;23467.06;23425.09;23567.52;12613.166
03.03.2023 03:00;23467.64;23408.65;23386.44;23474.09;6454.341
03.03.2023 04:00;23409.47;23460.97;23408.65;23557.01;6018.146
03.03.2023 05:00;23460.27;23465.32;23429.32;23504.01;5152.485
03.03.2023 06:00;23465.32;23418.5;23398.85;23476.95;5032.13
03.03.2023 07:00;23417.58;22150.31;21971.13;23425.7;58703.569
03.03.2023 08:00;22150.31;22348.57;22099.18;22454.94;27017.16
03.03.2023 09:00;22347.51;22319.69;22276.9;22400.87;14249.448
03.03.2023 10:00;22319.69;22376.5;22251.08;22393.33;10661.48
03.03.2023 11:00;22376.46;22341.8;22329.14;22411.36;9261.95
03.03.2023 12:00;22341.8;22378.73;22325.81;22402.25;9627.664
03.03.2023 13:00;22379.01;22360.78;22332.03;22404.7;9973.59
03.03.2023 14:00;22360.78;22430.33;22354.36;22453.88;10403.797
03.03.2023 15:00;22430.33;22368.54;22346.84;22479.97;9762.176
03.03.2023 16:00;22368.54;22351.43;22339.26;22393.65;6371.833
03.03.2023 17:00;22352.09;22342.92;22300.14;22367.53;7581.265
03.03.2023 18:00;22343.06;22354.0;22323.16;22370.0;8263.569
03.03.2023 19:00;22353.46;22402.8;22172.65;22428.34;17076.832
03.03.2023 20:00;22402.79;22376.0;22361.02;22498.99;18666.587
03.03.2023 21:00;22377.34;22336.33;22228.99;22417.48;19801.364
03.03.2023 22:00;22335.84;22374.15;22322.0;22382.14;9549.696
03.03.2023 23:00;22375.36;22413.17;22366.26;22448.25;10207.736
04.03.2023 00:00;22413.38;22313.2;22229.25;22422.91;14044.116
04.03.2023 01:00;22313.2;22358.48;22289.84;22397.76;8452.364
04.03.2023 02:00;22357.83;22308.16;22274.0;22378.22;8238.696
04.03.2023 03:00;22307.08;22239.92;22147.0;22316.15;14773.221
04.03.2023 04:00;22239.92;22320.99;22224.68;22338.75;5433.818
04.03.2023 05:00;22320.99;22354.34;22313.17;22377.26;6800.136
